"bird_sp" "plant_sp" "int_s" "n.studies" "freq" "bird.gape" "seed.size" "family"
"Antilophia_galeata" "Virola_gardneri" 0 0 0 9.54 26 "Pipridae"
"Antilophia_galeata" "Alchornea_glandulosa" 1 1 1 9.54 8 "Pipridae"
"Antilophia_galeata" "Callicarpa_reevesii" 1 1 1 9.54 1.4 "Pipridae"
"Antilophia_galeata" "Miconia_rubiginosa" 1 1 1 9.54 1.27 "Pipridae"
"Antilophia_galeata" "Protium_spruceanum" 1 1 1 9.54 10 "Pipridae"
"Antilophia_galeata" "Richeria_grandis" 1 1 1 9.54 6.8 "Pipridae"
"Antilophia_galeata" "Rubus_rosifolius" 1 1 1 9.54 1.55 "Pipridae"
"Antilophia_galeata" "Schinus_terebinthifolius" 1 1 1 9.54 3.5 "Pipridae"
"Antilophia_galeata" "Trema_micrantha" 0 0 0 9.54 2 "Pipridae"
"Antilophia_galeata" "Miconia_tristis" 0 0 0 9.54 2.11 "Pipridae"
"Antilophia_galeata" "Myrsine_gardneriana" 0 0 0 9.54 4.6 "Pipridae"
"Antilophia_galeata" "Alchornea_triplinervia" 0 0 0 9.54 5.8 "Pipridae"
"Antilophia_galeata" "Copaifera_trapezifolia" 0 0 0 9.54 18.3 "Pipridae"
"Antilophia_galeata" "Eugenia_uniflora" 0 1 0 9.54 16 "Pipridae"
"Antilophia_galeata" "Ficus_eximia" 0 0 0 9.54 1.6 "Pipridae"
"Antilophia_galeata" "Livistona_chinensis" 0 0 0 9.54 14 "Pipridae"
"Antilophia_galeata" "Maytenus_gonoclada" 0 0 0 9.54 12.5 "Pipridae"
"Antilophia_galeata" "Miconia_budlejoides" 0 0 0 9.54 1.27 "Pipridae"
"Antilophia_galeata" "Miconia_cinnamomifolia" 0 0 0 9.54 0.4 "Pipridae"
"Antilophia_galeata" "Miconia_discolor" 0 0 0 9.54 1.28 "Pipridae"
"Antilophia_galeata" "Miconia_racemifera" 0 0 0 9.54 1.64 "Pipridae"
"Antilophia_galeata" "Myrcia_brasiliensis" 0 0 0 9.54 6.19 "Pipridae"
"Antilophia_galeata" "Prunus_myrtifolia" 0 0 0 9.54 9 "Pipridae"
"Antilophia_galeata" "Syzygium_cumini" 0 1 0 9.54 14.5 "Pipridae"
"Antilophia_galeata" "Virola_sebifera" 0 1 0 9.54 15 "Pipridae"
"Antilophia_galeata" "Miconia_pusilliflora" 0 0 0 9.54 2.855 "Pipridae"
"Antilophia_galeata" "Psidium_guajava" 0 1 0 9.54 4.7 "Pipridae"
"Antilophia_galeata" "Tetrorchidium_rubrivenium" 0 0 0 9.54 6 "Pipridae"
"Antilophia_galeata" "Aegiphila_integrifolia" 0 0 0 9.54 8 "Pipridae"
"Antilophia_galeata" "Cupania_emarginata" 0 0 0 9.54 9.5 "Pipridae"
"Antilophia_galeata" "Guapira_opposita" 0 0 0 9.54 6.1 "Pipridae"
"Antilophia_galeata" "Guarea_guidonia" 0 0 0 9.54 13 "Pipridae"
"Antilophia_galeata" "Miconia_albicans" 0 0 0 9.54 1.02 "Pipridae"
"Antilophia_galeata" "Myrcia_splendens" 0 0 0 9.54 6.1 "Pipridae"
"Antilophia_galeata" "Myrsine_lancifolia" 0 0 0 9.54 4.02 "Pipridae"
"Antilophia_galeata" "Pera_glabrata" 0 0 0 9.54 4 "Pipridae"
"Antilophia_galeata" "Protium_heptaphyllum" 0 0 0 9.54 9.23 "Pipridae"
"Antilophia_galeata" "Urera_baccifera" 0 0 0 9.54 2 "Pipridae"
"Antilophia_galeata" "Vitex_polygama" 0 0 0 9.54 13 "Pipridae"
"Antilophia_galeata" "Casearia_sylvestris" 0 1 0 9.54 22.8 "Pipridae"
"Antilophia_galeata" "Eugenia_melanogyna" 0 0 0 9.54 25.36 "Pipridae"
"Antilophia_galeata" "Ficus_luschthia" 0 0 0 9.54 1.6 "Pipridae"
"Antilophia_galeata" "Geonoma_pauciflora" 0 0 0 9.54 6.9 "Pipridae"
"Antilophia_galeata" "Leandra_australis" 0 0 0 9.54 0.91 "Pipridae"
"Antilophia_galeata" "Leandra_pilonensis" 0 0 0 9.54 1.03 "Pipridae"
"Antilophia_galeata" "Leandra_regnellii" 0 0 0 9.54 0.31 "Pipridae"
"Antilophia_galeata" "Miconia_cubatanensis" 0 0 0 9.54 2.35 "Pipridae"
"Antilophia_galeata" "Miconia_sellowiana" 0 0 0 9.54 1.15 "Pipridae"
"Antilophia_galeata" "Morus_nigra" 0 0 0 9.54 2.3 "Pipridae"
